iter	Passed	Remaining
0	0	63
1	1	67
2	1	62
3	2	56
4	2	54
5	3	54
6	3	52
7	4	50
8	4	48
9	5	46
10	5	45
11	6	44
12	6	43
13	6	42
14	7	42
15	7	41
16	8	39
17	8	39
18	9	39
19	9	39
20	10	38
21	10	38
22	11	37
23	11	36
24	11	35
25	12	35
26	12	34
27	13	33
28	13	33
29	14	32
30	14	32
31	15	32
32	15	31
33	16	31
34	16	31
35	23	41
36	23	40
37	24	39
38	25	39
39	25	38
40	25	37
41	26	36
42	26	35
43	26	34
44	27	33
45	27	32
46	28	31
47	28	31
48	31	32
49	32	32
50	34	33
51	35	32
52	35	31
53	36	30
54	36	29
55	37	29
56	38	28
57	38	28
58	43	30
59	44	29
60	44	28
61	45	28
62	46	27
63	47	26
64	47	25
65	48	24
66	48	24
67	49	23
68	62	28
69	63	27
70	63	25
71	63	24
72	64	23
73	64	22
74	65	21
75	65	20
76	66	19
77	67	18
78	67	17
79	67	16
80	75	17
81	76	16
82	77	15
83	78	14
84	78	13
85	85	13
86	86	12
87	87	11
88	88	10
89	88	9
90	89	8
91	91	7
92	94	7
93	96	6
94	96	5
95	97	4
96	97	3
97	98	2
98	98	0
99	98	0
