iter	Passed	Remaining
0	54	54148
1	54	27273
2	55	18310
3	56	14022
4	56	11333
5	57	9529
6	58	8229
7	58	7307
8	59	6536
9	59	5915
10	60	5411
11	60	4988
12	61	4632
13	61	4329
14	61	4063
15	62	3827
16	62	3620
17	62	3436
18	63	3273
19	63	3127
20	64	2992
21	64	2871
22	64	2760
23	65	2658
24	65	2564
25	66	2477
26	66	2397
27	66	2322
28	67	2253
29	67	2188
30	68	2128
31	68	2071
32	68	2018
33	69	1968
34	69	1920
35	70	1875
36	71	1854
37	71	1815
38	72	1781
39	72	1745
40	73	1709
41	73	1676
42	73	1645
43	74	1615
44	74	1586
45	75	1558
46	75	1531
47	75	1505
48	76	1483
49	76	1459
50	77	1436
51	77	1414
52	78	1393
53	78	1373
54	78	1353
55	79	1335
56	79	1316
57	79	1298
58	80	1281
59	80	1265
60	81	1249
61	81	1234
62	81	1218
63	82	1205
64	82	1192
65	83	1178
66	83	1165
67	84	1152
68	84	1139
69	85	1138
70	86	1126
71	86	1115
72	86	1103
73	87	1092
74	87	1081
75	88	1070
76	88	1060
77	88	1050
78	89	1040
79	89	1032
80	90	1028
81	91	1022
82	91	1010
83	91	1002
84	92	993
85	92	985
86	93	976
87	93	968
88	93	960
89	94	953
90	94	945
91	95	937
92	95	930
93	95	923
94	96	916
95	96	909
96	96	902
97	97	896
98	97	889
99	98	883
100	98	877
101	98	870
102	100	872
103	100	866
104	101	862
105	101	857
106	101	851
107	102	845
108	102	840
109	103	835
110	103	829
111	103	824
112	104	819
113	104	813
114	105	808
115	105	803
116	105	798
117	106	793
118	106	789
119	107	784
120	107	779
121	107	774
122	108	770
123	108	766
124	108	761
125	109	758
126	109	753
127	109	749
128	110	745
129	110	741
130	111	737
131	111	733
132	111	729
133	112	726
134	112	722
135	113	718
136	113	714
137	115	718
138	115	715
139	116	712
140	116	709
141	116	704
142	117	702
143	117	698
144	117	695
145	118	692
146	118	688
147	119	685
148	119	682
149	119	679
150	120	676
151	120	673
152	121	670
153	121	667
154	121	664
155	122	661
156	122	658
157	123	655
158	123	652
159	123	649
160	123	646
161	124	643
162	124	640
163	125	637
164	125	634
165	125	632
166	126	629
167	126	627
168	126	624
169	127	622
170	128	623
171	129	621
172	129	618
173	129	616
174	130	615
175	130	612
176	131	610
177	131	608
178	132	605
179	132	603
180	132	601
181	133	599
182	133	597
183	134	594
184	134	592
185	134	590
186	135	588
187	135	585
188	136	584
189	136	581
190	136	579
191	137	578
192	137	575
193	138	573
194	138	571
195	138	569
196	139	567
197	139	565
198	140	563
199	140	561
200	140	559
201	141	557
202	141	555
203	141	554
204	143	556
205	144	555
206	144	554
207	145	552
208	145	550
209	145	548
210	146	547
211	146	545
212	147	543
213	147	542
214	148	540
215	148	538
216	148	536
217	149	534
218	149	533
219	149	531
220	150	529
221	150	527
222	151	526
223	151	524
224	151	522
225	152	521
226	152	519
227	152	518
228	153	516
229	153	514
230	154	513
231	154	511
232	154	510
233	155	508
234	155	506
235	156	505
236	157	506
237	157	504
238	158	503
239	158	501
240	158	500
241	159	499
242	159	497
243	160	496
244	160	494
245	160	493
246	161	491
247	161	490
248	162	488
249	162	487
250	162	485
251	163	484
252	163	482
253	163	481
254	164	479
255	164	478
256	164	476
257	165	475
258	165	473
259	165	472
260	166	470
261	166	469
262	167	468
263	167	466
264	167	465
265	168	463
266	168	462
267	168	460
268	169	459
269	169	458
270	169	456
271	170	455
272	171	455
273	172	457
274	172	456
275	173	454
276	173	453
277	174	451
278	174	450
279	174	449
280	175	447
281	175	446
282	175	445
283	176	443
284	176	442
285	176	441
286	176	439
287	177	438
288	177	437
289	177	435
290	178	434
291	178	432
292	178	431
293	179	430
294	179	429
295	179	427
296	180	426
297	180	425
298	180	423
299	181	422
300	181	421
301	181	420
302	183	421
303	183	420
304	183	419
305	184	418
306	188	425
307	188	424
308	189	423
309	189	422
310	190	421
311	190	420
312	191	419
313	191	418
314	191	417
315	192	415
316	192	414
317	192	413
318	193	412
319	193	411
320	193	410
321	194	408
322	194	407
323	194	406
324	195	405
325	195	404
326	195	402
327	196	401
328	196	400
329	196	399
330	197	398
331	197	397
332	198	396
333	198	395
334	198	394
335	199	393
336	204	402
337	205	401
338	205	400
339	205	399
340	206	398
341	206	397
342	206	396
343	207	395
344	207	394
345	207	393
346	208	392
347	208	391
348	209	389
349	209	388
350	209	387
351	210	386
352	210	386
353	210	384
354	211	383
355	211	382
356	211	381
357	212	380
358	212	379
359	213	378
360	213	377
361	213	376
362	214	375
363	214	374
364	215	374
365	215	374
366	216	373
367	216	372
368	217	371
369	218	371
370	218	371
371	219	370
372	219	369
373	220	368
374	220	367
375	220	366
376	221	365
377	221	364
378	221	363
379	222	362
380	222	361
381	222	360
382	223	359
383	223	358
384	223	357
385	223	356
386	224	355
387	224	354
388	224	353
389	225	352
390	225	351
391	226	350
392	226	349
393	226	349
394	227	348
395	227	347
396	227	346
397	228	345
398	228	344
399	229	343
400	232	347
401	233	347
402	233	346
403	234	345
404	234	344
405	234	343
406	235	342
407	235	341
408	235	340
409	236	340
410	236	339
411	237	338
412	237	337
413	237	336
414	238	335
415	238	334
416	238	333
417	239	332
418	239	332
419	239	331
420	240	330
421	240	329
422	240	328
423	241	327
424	241	326
425	241	325
426	241	324
427	242	323
428	242	322
429	242	321
430	243	321
431	243	320
432	243	319
433	244	319
434	245	318
435	245	317
436	245	316
437	246	315
438	246	315
439	247	314
440	247	313
441	247	312
442	248	312
443	248	311
444	248	310
445	249	309
446	249	308
447	249	307
448	250	306
449	250	306
450	250	305
451	251	304
452	251	303
453	251	302
454	252	302
455	252	301
456	252	300
457	253	299
458	253	298
459	253	298
460	254	297
461	254	296
462	254	295
463	255	294
464	255	293
465	255	293
466	256	292
467	256	291
468	256	290
469	257	289
470	257	288
471	257	288
472	257	287
473	258	286
474	258	285
475	258	284
476	259	284
477	259	283
478	260	283
479	260	282
480	261	281
481	261	280
482	261	280
483	262	279
484	262	278
485	262	278
486	263	277
487	263	276
488	264	275
489	264	275
490	264	274
491	265	273
492	265	272
493	265	272
494	266	271
495	266	270
496	266	269
497	267	269
498	267	268
499	267	267
500	267	266
501	268	266
502	268	265
503	268	264
504	269	263
505	269	263
506	269	262
507	270	261
508	270	260
509	270	260
510	271	259
511	271	258
512	271	258
513	272	257
514	272	256
515	273	256
516	273	255
517	274	255
518	274	254
519	275	253
520	275	253
521	276	252
522	276	252
523	276	251
524	277	250
525	277	250
526	277	249
527	278	248
528	278	247
529	278	247
530	279	246
531	279	245
532	279	245
533	280	244
534	280	243
535	281	243
536	281	242
537	281	241
538	282	241
539	282	240
540	282	239
541	283	239
542	283	238
543	283	238
544	284	237
545	284	236
546	285	236
547	285	235
548	285	234
549	286	234
550	286	233
551	286	232
552	287	232
553	287	231
554	289	231
555	289	231
556	290	230
557	290	230
558	290	229
559	291	228
560	291	228
561	291	227
562	292	226
563	292	226
564	292	225
565	293	224
566	293	224
567	293	223
568	294	222
569	294	222
570	295	221
571	295	221
572	295	220
573	296	219
574	296	219
575	296	218
576	297	217
577	297	217
578	298	216
579	298	216
580	298	215
581	299	214
582	299	214
583	299	213
584	300	212
585	300	212
586	300	211
587	301	210
588	301	210
589	301	209
590	303	209
591	303	209
592	303	208
593	304	207
594	304	207
595	305	206
596	305	206
597	305	205
598	306	204
599	306	204
600	306	203
601	307	203
602	307	202
603	308	201
604	308	201
605	308	200
606	309	200
607	309	199
608	309	198
609	310	198
610	310	197
611	310	197
612	311	196
613	312	196
614	312	195
615	312	195
616	313	194
617	313	193
618	314	193
619	314	192
620	314	192
621	315	191
622	315	190
623	315	190
624	316	189
625	316	189
626	318	189
627	319	189
628	319	188
629	320	188
630	320	187
631	321	186
632	321	186
633	321	185
634	322	185
635	322	184
636	322	183
637	323	183
638	323	182
639	323	182
640	324	181
641	324	180
642	324	180
643	325	179
644	325	179
645	326	178
646	326	178
647	326	177
648	326	176
649	327	176
650	327	175
651	328	175
652	328	174
653	328	173
654	329	173
655	329	172
656	329	172
657	330	171
658	330	170
659	330	170
660	331	169
661	331	169
662	331	168
663	332	168
664	332	167
665	333	167
666	333	166
667	333	165
668	334	165
669	334	164
670	334	164
671	335	163
672	335	163
673	335	162
674	336	161
675	336	161
676	337	160
677	337	160
678	337	159
679	338	159
680	338	158
681	338	157
682	339	157
683	339	156
684	339	156
685	340	155
686	340	155
687	340	154
688	341	153
689	341	153
690	341	152
691	342	152
692	342	151
693	342	151
694	343	150
695	343	150
696	343	149
697	345	149
698	345	148
699	345	148
700	346	147
